CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES
53212,37820,43.0483622,-87.9296885,53205.0,3,43.0712,-87.9084,1.91
53202,28622,43.0607703,-87.934476,53205.0,2,43.0506,-87.8968,2.03
53218,37288,43.0533748,-89.3955318,53715.0,1,43.1122,-87.9932,70.88
53215,26948,43.0143562,-87.9246116,53204.0,3,43.006,-87.9429,1.09
53208,30659,43.0718648,-87.9445593,53206.0,1,43.0488,-87.9625,1.83
53222,37820,43.0483622,-87.9296885,53205.0,1,43.0828,-88.0269,5.45
53208,32116,43.0750725,-88.0038214,53210.0,2,43.0488,-87.9625,2.77
53209,33027,43.0555576,-87.9145566,53212.0,2,43.1188,-87.9478,4.68
53210,28444,43.0633551,-87.9180815,53212.0,1,43.0685,-87.9715,2.72
53215,28929,43.0122026,-87.9523576,53215.0,5,43.006,-87.9429,0.64
53212,30499,43.00679569,-88.02960138,53214.0,10,43.0712,-87.9084,7.57
53233,28630,43.073142,-87.946954,53210.0,1,43.0407,-87.9357,2.31
53215,28153,43.0386745,-87.9199844,53203.0,1,43.006,-87.9429,2.54
53210,20050,43.0718225,-89.3816961,53703.0,1,43.0685,-87.9715,71.18
53208,26996,43.0426219,-87.9279631,53233.0,1,43.0488,-87.9625,1.8
53206,34922,43.0615264,-87.8864629,53211.0,2,43.0753,-87.9347,2.61
53221,19318,42.9943092,-87.9134072,53207.0,1,42.9549,-87.9447,3.15
53072,29250,43.0113246,-88.2268907,53186.0,1,43.0788,-88.2729,5.21
53209,27555,43.0511886,-87.939263,53205.0,1,43.1188,-87.9478,4.69
53213,37820,43.0483622,-87.9296885,53205.0,1,43.0488,-88.0015,3.63
53403,28151,42.7258283,-87.7899518,53403.0,2,42.706,-87.8014,1.49
53186,29250,43.0113246,-88.2268907,53186.0,1,42.9993,-88.2196,0.91
53206,26986,43.0451424,-87.9393587,53233.0,2,43.0753,-87.9347,2.1
53204,36980,43.1479775,-87.9791231,53223.0,1,43.0158,-87.9317,9.44
53223,37820,43.0483622,-87.9296885,53205.0,4,43.1624,-87.9898,8.44
53233,29697,43.1116189,-87.9641853,53209.0,1,43.0407,-87.9357,5.11
53215,26937,43.0147369,-87.949006,53215.0,3,43.006,-87.9429,0.68
55921,14438,43.8104865,-91.2498486,54601.0,1,43.6221,-91.4837,17.49
53208,29588,43.0392652,-87.9152463,53203.0,2,43.0488,-87.9625,2.48
54669,15765,43.8175965,-91.2485708,54601.0,1,43.9063,-91.0893,10.03
54636,9742,43.8149618,-91.2504499,54601.0,1,43.9761,-91.2497,11.13
53233,28456,43.0483622,-87.9296885,53205.0,2,43.0407,-87.9357,0.61
53206,27436,43.0717498,-87.9443175,53206.0,1,43.0753,-87.9347,0.54
53224,28622,43.0607703,-87.934476,53205.0,4,43.1594,-88.0327,8.43
53210,19398,42.9919933,-87.9375834,53215.0,1,43.0685,-87.9715,5.56
53092,28215,43.1002545,-89.5390746,53562.0,1,43.2364,-87.9845,78.9
54669,11923,43.8146827,-91.2486459,54601.0,2,43.9063,-91.0893,10.15
53224,28468,43.052153,-87.9191542,53212.0,1,43.1594,-88.0327,9.37
53209,29414,43.0699934,-87.9058583,53212.0,2,43.1188,-87.9478,3.98
53216,27682,43.0433322,-87.9238174,53233.0,1,43.0859,-87.9742,3.89
53226,28435,43.0409377,-87.9365218,53233.0,1,43.0493,-88.0414,5.33
53218,31808,43.0220824,-88.0005676,53214.0,2,43.1122,-87.9932,6.24
53208,27171,43.0418686,-87.9084624,53202.0,1,43.0488,-87.9625,2.77
53204,19318,42.9943092,-87.9134072,53207.0,2,43.0158,-87.9317,1.75
53216,27622,43.0561162,-87.9880353,53208.0,1,43.0859,-87.9742,2.17
53215,35937,43.0317385,-87.9122194,53204.0,1,43.006,-87.9429,2.36
53216,28399,43.0210082,-87.9968633,53214.0,1,43.0859,-87.9742,4.63
54495,33458,44.3888319,-89.8489501,54495.0,1,44.3881,-89.9228,3.65
53216,28430,43.0731159,-88.05589,53222.0,2,43.0859,-87.9742,4.22
53403,33230,43.0395821,-87.9198778,53233.0,1,42.706,-87.8014,23.82
53208,19962,43.0429146,-89.3759564,53713.0,1,43.0488,-87.9625,71.37
53215,28502,42.988534,-87.8924671,53207.0,1,43.006,-87.9429,2.82
53218,29028,43.0389226,-87.962498,53208.0,1,43.1122,-87.9932,5.29
53215,27658,43.1244822,-87.9850609,53218.0,1,43.006,-87.9429,8.46
53222,28435,43.0409377,-87.9365218,53233.0,4,43.0828,-88.0269,5.4
53188,36701,43.0497976,-88.3717382,53018.0,1,43.0128,-88.2705,5.72
53210,28399,43.0210082,-87.9968633,53214.0,1,43.0685,-87.9715,3.52
53216,28159,43.0395821,-87.9198778,53233.0,2,43.0859,-87.9742,4.21
54601,12124,43.8186417,-91.2484103,54601.0,1,43.7989,-91.2175,2.06
54729,36859,44.9271098,-91.3604126,54729.0,1,44.9369,-91.3929,1.73
53208,37534,43.0607703,-87.934476,53205.0,1,43.0488,-87.9625,1.64
53221,12097,43.0603089,-89.2885089,53718.0,2,42.9549,-87.9447,68.29
53216,34907,43.067804,-87.9229711,53206.0,1,43.0859,-87.9742,2.87
53216,27857,43.0547713,-87.95783797,53208.0,1,43.0859,-87.9742,2.3
53223,41157,43.0488227,-87.9278883,53205.0,1,43.1624,-87.9898,8.45
53209,27883,43.1144094,-87.9347786,53209.0,2,43.1188,-87.9478,0.72
53209,27711,43.0561253,-87.9260188,53205.0,1,43.1188,-87.9478,4.47
53214,38037,43.0178228,-88.0579973,53214.0,1,43.0215,-88.0176,2.06
53225,37760,43.0559483,-88.2247031,53188.0,1,43.1154,-88.0346,10.44
53130,28505,43.1192086,-88.0324478,53225.0,1,42.941,-88.0503,12.35
53216,12634,43.03884557,-87.91469278,53203.0,2,43.0859,-87.9742,4.43
53223,37137,43.0759324,-89.381178,53703.0,1,43.1624,-87.9898,70.43
53223,28521,43.0415872,-87.9240961,53233.0,1,43.1624,-87.9898,8.98
53185,29703,43.0256503,-88.232283,53188.0,1,42.7632,-88.1974,18.22
54650,22234,44.2513583,-88.3688148,54915.0,1,43.8974,-91.2314,144.18
53204,27533,42.972029,-87.91947462,53221.0,2,43.0158,-87.9317,3.09
53205,28929,43.0122026,-87.9523576,53215.0,3,43.0528,-87.9353,2.93
53406,28130,42.7300554,-87.9606641,53177.0,1,42.7242,-87.8551,5.37
53218,28622,43.0607703,-87.934476,53205.0,3,43.1122,-87.9932,4.63
53206,28159,43.0395821,-87.9198778,53233.0,3,43.0753,-87.9347,2.58
53225,30499,43.00679569,-88.02960138,53214.0,3,43.1154,-88.0346,7.51
53212,20039,43.0718225,-89.3816961,53703.0,1,43.0712,-87.9084,74.36
53403,28252,42.7082115,-87.8066846,53403.0,1,42.706,-87.8014,0.31
53216,29587,43.1790677,-88.0077181,53223.0,1,43.0859,-87.9742,6.66
53215,30121,43.0641205,-87.96717239,53233.0,1,43.006,-87.9429,4.2
53218,27344,43.0436462,-87.9268158,53233.0,1,43.1122,-87.9932,5.8
53209,7811,43.0750236,-89.3266979,53716.0,1,43.1188,-87.9478,69.63
53404,30172,42.7077879,-87.8032018,53403.0,1,42.7433,-87.8053,2.46
53212,30054,43.0139088,-88.2347018,53188.0,1,43.0712,-87.9084,16.95
53202,27238,43.0568755,-87.9820427,53208.0,1,43.0506,-87.8968,4.33
53233,30642,43.0715876,-87.9352803,53206.0,1,43.0407,-87.9357,2.13
53210,27903,43.0755531,-87.9792239,53210.0,1,43.0685,-87.9715,0.62
53220,37986,43.0124994,-87.9928039,53214.0,1,42.9559,-87.9933,3.91
