CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES,DRIVING_DISTANCE_MILES,DRIVING_TIME_MINUTES,WALKING_DISTANCE_MILES,WALKING_TIME_MINUTES
53221,20039,43.0718225,-89.3816961,53703.0,1,42.9549,-87.9447,73.05,81.03863700000001,81.08333333333333,,
53226,37818,42.9850595,-87.9345942,53215.0,1,43.0493,-88.0414,6.99,13.529727000000001,17.666666666666668,,
53404,28178,42.7275578,-87.7845572,53403.0,1,42.7433,-87.8053,1.51,2.033154,6.816666666666666,1.93131,38.3
53208,27225,43.0193608,-87.958023,53215.0,1,43.0488,-87.9625,2.05,2.616273,7.466666666666667,2.2759650000000002,46.78333333333333
53094,26791,43.1959791,-88.7232792,53094.0,1,43.193,-88.7185,0.32,0.445878,2.6666666666666665,0.427869,8.8
53210,27654,43.0535607,-87.9194224,53205.0,1,43.0685,-87.9715,2.82,3.496851,10.316666666666666,3.190077,63.583333333333336
53188,28613,43.0230072,-88.2131352,53186.0,1,43.0128,-88.2705,2.98,3.680667,9.316666666666666,3.35961,68.01666666666667
53207,28114,43.0383969,-87.947036,53233.0,1,42.9751,-87.8947,5.11,7.374996,11.516666666666667,,
53224,27114,43.0555513,-87.9627692,53208.0,1,43.1594,-88.0327,8.0,9.321831,20.066666666666666,,
53202,27523,43.0417217,-87.9043253,53202.0,1,43.0506,-87.8968,0.72,1.090476,4.75,0.8805780000000001,18.016666666666666
53224,28929,43.0122026,-87.9523576,53215.0,1,43.1594,-88.0327,10.95,16.459605,21.933333333333334,,
53207,27621,43.0565334,-87.9879237,53208.0,1,42.9751,-87.8947,7.34,10.821546,15.15,,
53212,37534,43.0607703,-87.934476,53205.0,1,43.0712,-87.9084,1.5,2.298321,6.05,2.0281860000000003,41.05
53206,28521,43.0415872,-87.9240961,53233.0,1,43.0753,-87.9347,2.39,3.216159,6.866666666666666,2.752272,55.06666666666667
53214,27676,43.1040079,-87.9600134,53209.0,1,43.0215,-88.0176,6.4,8.331336,15.216666666666667,,
