INTERACTION_ID,SITE_ID,CLIENT_ID,CLIENT_ZIP,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP
1399886,28397,16469,53218,43.0210082,-87.9968633,53214
1238897,27737,16905,53206,43.0530363,-87.934476,53205
1263660,28434,18497,53218,43.0409377,-87.9365218,53233
1386258,27171,20105,53206,43.0418686,-87.9084624,53202
1324506,28505,20353,53219,43.1192086,-88.0324478,53225
1385952,28435,20503,53204,43.0409377,-87.9365218,53233
1340090,28435,20503,53204,43.0409377,-87.9365218,53233
1235582,37534,20357,53208,43.0607703,-87.934476,53205
1306642,37819,20395,53209,43.0433344,-87.9240303,53233
1283903,27711,16870,53205,43.0561253,-87.9260188,53205
1180481,27890,18187,53224,43.03733013,-87.92320041,53233
1297473,37820,18187,53224,43.0483622,-87.9296885,53205
1350812,19391,21326,53223,43.1161888,-89.3540564,53704
1197268,29587,22103,53216,43.1790677,-88.0077181,53223
1276557,28400,22164,53209,43.0488227,-87.9278883,53205
1356139,28435,22339,53202,43.0409377,-87.9365218,53233
1355416,32482,22366,53403,42.7153861,-87.8181059,53405
1337692,28397,22666,53208,43.0210082,-87.9968633,53214
1275678,35464,22902,53218,43.0556602,-87.9181198,53212
1334763,28397,23611,53208,43.0210082,-87.9968633,53214
1314847,33495,23875,53209,43.090023,-87.941777,53206
1379883,28435,24044,53224,43.0409377,-87.9365218,53233
1361113,28400,24060,53214,43.0488227,-87.9278883,53205
1175909,30292,24133,53402,42.7678358,-87.7862687,53402
1296601,28435,24248,53218,43.0409377,-87.9365218,53233
1399217,28400,24399,53218,43.0488227,-87.9278883,53205
1273735,28435,20749,53210,43.0409377,-87.9365218,53233
1402313,37820,20749,53210,43.0483622,-87.9296885,53205
1208170,28452,21030,53110,42.9602523,-87.85793,53110
1220226,27621,21143,53218,43.0565334,-87.9879237,53208
1178061,28397,22640,53214,43.0210082,-87.9968633,53214
1175012,28397,22640,53214,43.0210082,-87.9968633,53214
